PCON11CD,PCON11NM,Area Sq Km,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2018 ,Mid-2017,Mid-2016,Mid-2015
E14000530,Aldershot,53,"105,601","106,193","106,471","105,532","1,993","2,004","2,010","1,992"
E14000531,Aldridge-Brownhills,44,"77,476","77,532","77,612","77,644","1,760","1,761","1,763","1,764"
E14000532,Altrincham and Sale West,51,"101,861","101,457","100,809","99,925","2,000","1,992","1,979","1,962"
E14000533,Amber Valley,125,"90,620","90,132","89,384","88,989",727,723,717,714
E14000534,Arundel and South Downs,645,"101,579","100,501","100,043","99,370",157,156,155,154
E14000535,Ashfield,108,"107,100","106,495","105,599","104,847",994,989,980,973
E14000536,Ashford,504,"123,871","122,178","120,660","118,793",246,243,240,236
E14000537,Ashton-under-Lyne,28,"92,602","92,289","91,875","91,178","3,332","3,321","3,306","3,281"
E14000538,Aylesbury,185,"123,732","121,812","120,144","116,735",667,657,648,629
E14000539,Banbury,464,"124,450","122,939","121,960","120,809",268,265,263,261
E14000540,Barking,20,"140,733","139,764","138,449","134,975","6,885","6,837","6,773","6,603"
E14000541,Barnsley Central,48,"91,272","90,319","89,877","88,992","1,887","1,867","1,858","1,840"
E14000542,Barnsley East,87,"95,016","94,604","94,336","93,800","1,095","1,090","1,087","1,081"
E14000543,Barrow and Furness,281,"86,728","86,806","87,258","87,456",308,308,310,311
E14000544,Basildon and Billericay,60,"96,192","95,530","95,062","93,916","1,597","1,586","1,578","1,559"
E14000545,Basingstoke,59,"114,883","115,046","114,827","113,903","1,950","1,953","1,949","1,933"
E14000546,Bassetlaw,480,"107,497","106,994","105,989","105,467",224,223,221,220
E14000547,Bath,29,"97,227","95,024","94,029","93,808","3,391","3,314","3,279","3,271"
E14000548,Batley and Spen,55,"111,704","111,539","111,209","110,683","2,029","2,026","2,020","2,010"
E14000549,Battersea,10,"117,649","115,715","114,672","113,953","11,445","11,257","11,155","11,085"
E14000550,Beaconsfield,176,"102,799","102,421","102,664","102,080",583,581,582,579
E14000551,Beckenham,34,"93,099","92,767","92,339","91,630","2,700","2,690","2,678","2,657"
E14000552,Bedford,34,"106,761","106,341","106,347","105,192","3,146","3,133","3,133","3,099"
E14000553,Bermondsey and Old Southwark,10,"146,406","144,175","142,144","140,123","14,045","13,831","13,636","13,442"
E14000554,Berwick-upon-Tweed,"2,379","75,832","75,542","75,293","75,085",32,32,32,32
E14000555,Bethnal Green and Bow,9,"150,337","146,820","144,072","140,359","16,402","16,018","15,719","15,314"
E14000556,Beverley and Holderness,775,"100,605","100,257","100,238","100,089",130,129,129,129
E14000557,Bexhill and Battle,527,"106,127","104,993","103,898","103,216",202,199,197,196
E14000558,Bexleyheath and Crayford,22,"94,574","93,923","93,334","91,735","4,374","4,344","4,316","4,243"
E14000559,Birkenhead,25,"90,212","90,087","89,924","89,702","3,590","3,585","3,578","3,569"
E14000560,"Birmingham, Edgbaston",28,"105,856","105,317","103,380","101,570","3,738","3,719","3,651","3,587"
E14000561,"Birmingham, Erdington",22,"104,071","103,188","102,234","101,342","4,720","4,680","4,637","4,596"
E14000562,"Birmingham, Hall Green",20,"120,133","120,130","119,940","118,726","6,090","6,090","6,081","6,019"
E14000563,"Birmingham, Hodge Hill",21,"129,538","129,262","129,083","127,894","6,315","6,301","6,293","6,235"
E14000564,"Birmingham, Ladywood",26,"147,715","146,279","142,880","137,942","5,738","5,682","5,550","5,358"
E14000565,"Birmingham, Northfield",24,"103,918","103,704","103,683","103,005","4,249","4,240","4,240","4,212"
E14000566,"Birmingham, Perry Barr",25,"112,444","112,420","111,630","109,608","4,524","4,523","4,491","4,409"
E14000567,"Birmingham, Selly Oak",22,"110,024","108,848","107,569","106,545","5,030","4,976","4,917","4,871"
E14000568,"Birmingham, Yardley",23,"113,280","113,069","112,750","111,533","5,009","5,000","4,986","4,932"
E14000569,Bishop Auckland,919,"89,415","88,794","88,302","88,119",97,97,96,96
E14000570,Blackburn,40,"109,457","109,163","108,528","107,866","2,713","2,706","2,690","2,674"
E14000571,Blackley and Broughton,28,"122,538","121,759","120,559","118,353","4,353","4,325","4,282","4,204"
E14000572,Blackpool North and Cleveleys,23,"83,162","83,152","83,193","83,067","3,617","3,617","3,618","3,613"
E14000573,Blackpool South,20,"79,455","79,725","79,719","79,868","3,935","3,948","3,948","3,955"
E14000574,Blaydon,110,"87,978","88,273","88,585","88,682",797,800,803,804
E14000575,Blyth Valley,70,"84,340","83,985","83,637","83,084","1,199","1,194","1,189","1,181"
E14000576,Bognor Regis and Littlehampton,61,"107,223","106,496","105,330","103,793","1,752","1,740","1,721","1,696"
E14000577,Bolsover,226,"99,175","98,531","97,492","96,909",438,435,431,428
E14000578,Bolton North East,36,"98,389","97,992","97,307","96,858","2,737","2,726","2,707","2,695"
E14000579,Bolton South East,37,"106,388","105,872","105,307","104,124","2,889","2,875","2,860","2,828"
E14000580,Bolton West,72,"95,976","96,124","96,061","95,926","1,337","1,339","1,339","1,337"
E14000581,Bootle,26,"99,639","99,224","99,032","98,526","3,893","3,877","3,869","3,849"
E14000582,Boston and Skegness,708,"107,531","106,272","105,375","104,554",152,150,149,148
E14000583,Bosworth,289,"105,602","104,589","103,110","101,811",365,362,357,352
E14000584,Bournemouth East,25,"107,023","107,483","107,091","106,670","4,247","4,266","4,250","4,233"
E14000585,Bournemouth West,27,"105,337","105,394","104,698","102,963","3,887","3,889","3,863","3,799"
E14000586,Bracknell,74,"111,993","111,021","110,814","110,346","1,515","1,501","1,499","1,492"
E14000587,Bradford East,28,"119,261","118,123","117,218","116,521","4,191","4,151","4,119","4,095"
E14000588,Bradford South,43,"105,865","105,363","104,462","103,890","2,447","2,436","2,415","2,401"
E14000589,Bradford West,35,"118,764","117,969","117,406","116,221","3,370","3,347","3,331","3,298"
E14000590,Braintree,468,"100,884","101,121","100,673","100,266",216,216,215,214
E14000591,Brent Central,18,"149,140","147,291","144,901","143,605","8,156","8,055","7,925","7,854"
E14000592,Brent North,21,"136,270","136,376","136,131","134,853","6,555","6,560","6,548","6,487"
E14000593,Brentford and Isleworth,26,"135,834","134,768","134,321","133,945","5,194","5,153","5,136","5,122"
E14000594,Brentwood and Ongar,317,"96,515","96,486","96,599","96,122",305,305,305,304
E14000595,Bridgwater and West Somerset,"1,081","113,714","113,002","111,779","110,914",105,105,103,103
E14000596,Brigg and Goole,637,"88,904","88,452","88,317","87,738",139,139,139,138
E14000597,"Brighton, Kemptown",40,"96,557","95,938","95,496","94,192","2,430","2,415","2,404","2,371"
E14000598,"Brighton, Pavilion",29,"113,318","112,196","112,230","110,307","3,904","3,865","3,866","3,800"
E14000599,Bristol East,24,"101,133","100,828","100,424","99,378","4,266","4,253","4,236","4,192"
E14000600,Bristol North West,44,"106,446","106,013","105,803","104,978","2,410","2,400","2,395","2,376"
E14000601,Bristol South,25,"113,670","113,526","113,235","112,243","4,625","4,619","4,607","4,567"
E14000602,Bristol West,17,"142,156","138,885","136,504","134,041","8,246","8,056","7,918","7,775"
E14000603,Broadland,764,"99,170","98,565","97,599","96,745",130,129,128,127
E14000604,Bromley and Chislehurst,29,"96,043","95,597","94,709","93,847","3,266","3,251","3,220","3,191"
E14000605,Bromsgrove,217,"98,662","97,594","96,770","95,800",455,450,446,442
E14000606,Broxbourne,67,"102,242","102,167","102,220","101,588","1,529","1,528","1,529","1,519"
E14000607,Broxtowe,66,"98,046","97,540","97,069","96,849","1,490","1,483","1,475","1,472"
E14000608,Buckingham,867,"106,292","104,977","103,654","102,705",123,121,120,118
E14000609,Burnley,111,"88,527","87,705","87,496","87,262",800,792,791,788
E14000610,Burton,243,"107,249","106,400","105,847","105,198",441,437,435,432
E14000611,Bury North,51,"89,808","89,662","89,301","88,694","1,760","1,758","1,751","1,739"
E14000612,Bury South,48,"100,300","99,966","99,202","99,094","2,070","2,063","2,048","2,045"
E14000613,Bury St Edmunds,502,"118,041","117,735","117,150","117,250",235,235,233,234
E14000614,Calder Valley,306,"104,849","104,805","104,832","104,447",342,342,342,341
E14000615,Camberwell and Peckham,11,"132,209","131,739","131,355","130,846","11,601","11,560","11,526","11,481"
E14000616,Camborne and Redruth,279,"92,978","91,485","89,940","88,599",333,327,322,317
E14000617,Cambridge,36,"116,540","115,902","115,746","116,057","3,221","3,203","3,199","3,208"
E14000618,Cannock Chase,79,"100,109","99,126","98,513","98,490","1,269","1,257","1,249","1,249"
E14000619,Canterbury,249,"120,042","119,757","118,526","116,114",483,482,477,467
E14000620,Carlisle,211,"86,496","86,429","86,580","86,424",411,410,411,410
E14000621,Carshalton and Wallington,25,"102,545","101,780","101,350","100,190","4,022","3,992","3,975","3,929"
E14000622,Castle Point,45,"90,070","89,814","89,752","89,184","1,998","1,993","1,991","1,979"
E14000623,Central Devon,"1,413","94,135","93,250","92,169","91,699",67,66,65,65
E14000624,Central Suffolk and North Ipswich,796,"101,907","101,581","101,507","100,870",128,128,127,127
E14000625,Charnwood,172,"103,006","101,581","100,083","99,083",601,592,583,578
E14000626,Chatham and Aylesford,61,"102,240","101,469","101,414","100,935","1,663","1,651","1,650","1,642"
E14000627,Cheadle,39,"93,826","93,422","92,991","92,572","2,383","2,373","2,362","2,351"
E14000628,Chelmsford,42,"111,377","111,032","109,622","108,645","2,627","2,619","2,586","2,563"
E14000629,Chelsea and Fulham,8,"109,198","107,789","107,681","108,337","13,189","13,019","13,006","13,085"
E14000630,Cheltenham,37,"106,333","106,352","106,365","105,719","2,855","2,855","2,856","2,838"
E14000631,Chesham and Amersham,196,"95,927","95,355","95,204","94,662",489,486,485,482
E14000632,Chesterfield,47,"94,231","94,140","94,133","94,073","1,990","1,988","1,988","1,986"
E14000633,Chichester,621,"111,299","110,722","109,609","108,329",179,178,176,174
E14000634,Chingford and Woodford Green,19,"94,842","94,571","94,215","93,272","4,978","4,964","4,945","4,896"
E14000635,Chippenham,168,"99,744","99,897","99,762","99,228",595,596,595,592
E14000636,Chipping Barnet,35,"118,779","118,408","118,470","117,033","3,433","3,423","3,424","3,383"
E14000637,Chorley,155,"103,800","102,715","101,434","100,334",669,662,654,646
E14000638,Christchurch,109,"86,987","86,089","86,127","85,661",801,792,793,788
E14000639,Cities of London and Westminster,16,"129,893","122,923","120,903","117,929","7,917","7,492","7,369","7,187"
E14000640,City of Chester,133,"96,899","96,364","95,616","95,273",726,722,716,714
E14000641,City of Durham,187,"102,534","100,372","99,234","97,986",549,538,532,525
E14000642,Clacton,132,"90,266","89,901","89,148","88,093",683,680,674,666
E14000643,Cleethorpes,330,"94,385","94,333","94,130","94,048",286,286,285,285
E14000644,Colchester,46,"123,794","122,387","120,767","118,504","2,714","2,683","2,647","2,598"
E14000645,Colne Valley,180,"111,919","111,717","111,449","111,072",620,619,618,616
E14000646,Congleton,211,"96,042","94,744","94,083","93,477",455,449,446,443
E14000647,Copeland,"1,165","78,440","78,684","79,437","79,827",67,68,68,69
E14000648,Corby,554,"123,010","121,295","119,077","117,092",222,219,215,211
E14000649,Coventry North East,27,"127,405","124,974","122,708","120,515","4,678","4,589","4,506","4,425"
E14000650,Coventry North West,39,"113,468","112,177","110,387","108,517","2,945","2,912","2,865","2,817"
E14000651,Coventry South,33,"125,912","122,998","120,120","115,256","3,829","3,741","3,653","3,505"
E14000652,Crawley,45,"112,448","111,664","111,546","110,887","2,500","2,483","2,480","2,466"
E14000653,Crewe and Nantwich,136,"110,828","110,128","109,710","109,442",814,809,806,804
E14000654,Croydon Central,26,"121,510","121,087","120,097","118,796","4,739","4,722","4,684","4,633"
E14000655,Croydon North,18,"146,238","146,065","145,584","144,221","8,326","8,316","8,288","8,211"
E14000656,Croydon South,43,"117,598","117,685","117,620","117,053","2,717","2,719","2,717","2,704"
E14000657,Dagenham and Rainham,41,"112,410","112,045","110,512","108,214","2,743","2,734","2,697","2,641"
E14000658,Darlington,30,"91,872","91,768","91,680","91,446","3,058","3,055","3,052","3,044"
E14000659,Dartford,86,"115,749","113,576","111,133","109,560","1,347","1,322","1,294","1,275"
E14000660,Daventry,745,"101,156","99,130","97,494","96,071",136,133,131,129
